sounds,instrument,technique
n_Va-nonvib-C6-ff.wav,alto,non_vibrato
n_PFL-L_LV_nA_sus_f_C7.wav,piccolo_flute,ordinario
n_Vn-harm_artificial-G7-mf.wav,violin,artificial_harmonic
n_Tbn-pedal_tone-C1-f.wav,trombone,pedal_tone
n_Fl-ord-C6-mf.wav,flute,ordinario
n_KFA_Flatter_f_C2.wav,contrabassoon,flatterzunge
n_Cb-pizz_lv-C4-pp.wav,doublebass,pizzicato
n_Cb-nonvib-C3-pp.wav,doublebass,non_vibrato
n_MA_ES_A-So_p_C7.wav,marimba,soft_stick
n_Ob-mul-C6+_D#5+_A#4-f.wav,oboe,multiphonic
n_Bn-ord-C5-ff.wav,bassoon,ordinario
n_EH-L_pA_sus_pp_C5.wav,english_horn,ordinario
n_Xyl_HO_p_C5.wav,xylophone,hard_stick
n_Hp-ord-C7-ff.wav,harpa,ordinario
n_Vib_ES_Ha_sp-0_p1_C6.wav,vibraphone,hard_stick
n_Fl-flatt-C5-pp.wav,flute,flatterzunge
n_Acc-ord-C4-mf.wav,accordion,ordinario
n_ClBb-mul-C#4+_B5+_F#5_E6-mf.wav,clarinet,multiphonic
n_Cb-nonvib-C2-pp.wav,doublebass,non_vibrato
n_Tbn-ord-C2-pp.wav,trombone,ordinario
n_Hn-ord-C5-pp.wav,french_horn,ordinario
n_BKL_stac_mf1_C2.wav,bass_clarinet,staccato
n_ASax-mul-E4+_F5_C6-mf.wav,alto_saxophone,multiphonic
n_TpC+H-ord-C6-mf.wav,trumpet,ordinario
n_Fl-flatt-C7-mf.wav,flute,flatterzunge
n_ClBb-ord-C4-ff.wav,clarinet,ordinario
n_Hn-ord-C3-mf.wav,french_horn,ordinario
n_Va-ord-C5-ff.wav,alto,ordinario
n_TpC-ord-C4-pp.wav,trumpet,ordinario
n_Hn-stacc-C5-mf.wav,french_horn,staccato
n_TpC-ord-C5-pp.wav,trumpet,ordinario
n_Va-pizz_lv-C5-ff.wav,alto,pizzicato
n_ClBb-flatt-C6-pp.wav,clarinet,flatterzunge
n_MA_ES_A-So_f_C5.wav,marimba,soft_stick
n_BTb-ord-C4-mf.wav,bass_tuba,ordinario
n_Hn-flatt-C5-ff.wav,french_horn,flatterzunge
n_Va-pizz_bartok-C5-ff.wav,alto,pizzicato_bartok
n_TpC-flatt-C5-pp.wav,trumpet,flatterzunge
n_Xyl_GA_f_C8.wav,xylophone,soft_stick
n_Vc-harm_artificial-C4-mf.wav,cello,artificial_harmonic
n_KFA-L_nA_sus_p_C1.wav,contrabassoon,ordinario
n_Vib_ES_So_sp-0_p1_C4.wav,vibraphone,soft_stick
n_EH-L_pA_sus_f_C4.wav,english_horn,ordinario
n_Gtr-pont-C3-mf-5c.wav,guitare,sul_ponticello
n_Vc-nonvib-C6-pp.wav,cello,non_vibrato
n_Gsp_HH_f_C8.wav,glokenspiel,soft_stick
n_BTb-ord-C3-pp.wav,bass_tuba,ordinario
n_Fl-aeolian+ord-C7-mf.wav,flute,semi_eolian
n_AFL-L_oV_pA_sus_mf_C6.wav,alto_flute,ordinario
n_KFA-L_nA_sus_p_C3.wav,contrabassoon,ordinario
n_Tbn-ord-C5-ff.wav,trombone,ordinario
n_BKL-L_pA_sus_f_C2.wav,bass_clarinet,ordinario
